"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login no Sistema","3","0","","0"
"0","","0","Realizar pedido de recarga via ""Dealer""","10","0","","0"
"0","","0","Recuperação de senha e novo acesso","2","0","","0"
"0","","0","Novo cadastro","1","0","","0"
